model,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,class_weight,train_acc,test_acc,gap
RandomForest,100,37.0,5,4,sqrt,True,balanced,0.9987457629809562,0.7660131298793471,0.23273263310160908
RandomForest,100,23.0,3,4,sqrt,True,balanced_subsample,0.9986108134282743,0.7659687721788503,0.232642041249424
RandomForest,300,32.0,3,3,sqrt,False,balanced,0.9995237074611226,0.7658800567778566,0.23364365068326598
RandomForest,100,34.0,2,2,sqrt,False,,0.9998412358203742,0.7658800567778566,0.23396117904251756
RandomForest,150,38.0,4,6,sqrt,True,balanced,0.9983329761139291,0.7657026259758695,0.23263035013805966
RandomForest,150,38.0,5,6,sqrt,True,balanced,0.9983329761139291,0.7657026259758695,0.23263035013805966
RandomForest,100,36.0,4,4,log2,True,,0.9978884364109769,0.7656582682753726,0.23223016813560426
RandomForest,200,42.0,8,6,sqrt,True,balanced,0.998301223278004,0.765569552874379,0.23273167040362497
RandomForest,150,31.0,14,6,sqrt,False,,0.9985711223833679,0.7655251951738822,0.2330459272094857
RandomForest,300,35.0,2,5,sqrt,True,balanced_subsample,0.9984679256666111,0.7654364797728885,0.2330314458937226
RandomForest,300,24.0,7,6,sqrt,False,,0.9986663808911433,0.765347764371895,0.23331861651924835
RandomForest,150,41.0,14,3,log2,True,,0.9982615322330975,0.7651259758694109,0.23313555636368666
RandomForest,100,32.0,10,3,log2,True,balanced_subsample,0.998436172830686,0.7651259758694109,0.23331019696127508
RandomForest,200,38.0,6,2,log2,True,balanced,0.9989521564144698,0.7651259758694109,0.23382618054505888
RandomForest,200,32.0,5,4,sqrt,False,,0.9992299937288149,0.7649929027679205,0.2342370909608944
RandomForest,100,32.0,8,6,log2,True,balanced_subsample,0.9973803910361744,0.7647711142654364,0.23260927677073795
RandomForest,200,,7,6,log2,True,balanced,0.9973883292451557,0.7647267565649397,0.23266157268021603
RandomForest,200,35.0,9,6,log2,True,balanced,0.9973883292451557,0.7647267565649397,0.23266157268021603
RandomForest,100,34.0,2,2,sqrt,False,balanced,0.9998174211934303,0.7647267565649397,0.2350906646284906
RandomForest,100,22.0,9,6,log2,False,,0.9978963746199583,0.7646823988644429,0.2332139757555154
RandomForest,100,40.0,4,4,sqrt,False,,0.9991823644749271,0.7645936834634492,0.2345886810114779
RandomForest,300,41.0,8,3,sqrt,False,,0.9994681399982536,0.7645936834634492,0.23487445653480432
RandomForest,200,23.0,8,4,log2,True,balanced,0.9980154477546775,0.7645493257629524,0.23346612199172512
RandomForest,300,29.0,3,4,sqrt,True,balanced,0.9986743191001246,0.7645493257629524,0.23412499333717218
RandomForest,150,25.0,2,2,log2,False,,0.9992934994006653,0.764194464158978,0.2350990352416873
RandomForest,300,24.0,8,4,sqrt,True,balanced,0.9986743191001246,0.7641501064584811,0.23452421264164347
RandomForest,100,32.0,2,3,sqrt,True,,0.9989918474593762,0.7641501064584811,0.23484174100089505
RandomForest,300,22.0,2,7,log2,True,balanced_subsample,0.9973089471553428,0.7639283179559971,0.23338062919934566
