model,C,solver,class_weight,max_iter,train_acc,test_acc,gap,max_depth,min_samples_split,min_samples_leaf,criterion,splitter,ccp_alpha,n_estimators,max_features,bootstrap
DecisionTree,,,,,0.9966659522278584,0.8019428672817601,0.1947230849460982,33.0,14.0,10.0,log_loss,random,1e-05,,,
DecisionTree,,,,,0.9962690417787938,0.8018541518807665,0.1944148898980273,25.0,6.0,10.0,log_loss,random,0.0001,,,
RandomForest,,,,,0.9996745334317672,0.8018541518807665,0.1978203815510006,22.0,2.0,2.0,,,,100.0,,False
DecisionTree,,,,,0.9985314313384616,0.8014549325762953,0.1970764987621661,18.0,40.0,2.0,log_loss,best,0.0,,,
RandomForest,,,,,0.9994998928341788,0.8013662171753017,0.198133675658877,36.0,8.0,2.0,,,,200.0,,False
DecisionTree,,,,,0.9883625856334294,0.8013218594748048,0.1870407261586245,25.0,6.0,12.0,log_loss,random,0.001,,,
DecisionTree,,,,,0.9981265826804157,0.8011000709723208,0.1970265117080948,30.0,15.0,12.0,gini,best,1e-05,,,
DecisionTree,,,,,0.9981265826804157,0.8011000709723208,0.1970265117080948,31.0,4.0,12.0,gini,best,1e-06,,,
DecisionTree,,,,,0.9981265826804157,0.8011000709723208,0.1970265117080948,33.0,12.0,12.0,gini,best,1e-05,,,
DecisionTree,,,,,0.994816349535218,0.801055713271824,0.1937606362633939,11.0,11.0,8.0,entropy,random,1e-05,,,
RandomForest,,,,,0.999420510744366,0.8009226401703335,0.1984978705740323,27.0,9.0,2.0,,,,150.0,,False
DecisionTree,,,,,0.9962769799877752,0.8003016323633783,0.1959753476243969,31.0,17.0,14.0,gini,random,1e-05,,,
DecisionTree,,,,,0.9962769799877752,0.8003016323633783,0.1959753476243969,31.0,14.0,14.0,gini,random,1e-05,,,
DecisionTree,,,,,0.9969199749152596,0.7997693399574166,0.197150634957843,31.0,32.0,7.0,log_loss,random,1e-05,,,
DecisionTree,,,,,0.996959665960166,0.7993701206529453,0.1975895453072207,24.0,4.0,9.0,log_loss,random,0.0,,,
DecisionTree,,,,,0.996959665960166,0.7993701206529453,0.1975895453072207,27.0,5.0,9.0,entropy,random,0.0,,,
DecisionTree,,,,,0.9917125098235336,0.7991926898509581,0.1925198199725755,18.0,28.0,12.0,log_loss,random,0.001,,,
RandomForest,,,,,0.9990950441761328,0.7991483321504613,0.1999467120256716,28.0,8.0,5.0,,,,300.0,,False
